year,cites,name
1999,3,Christopher Beem
2000,8,Christopher Beem
2001,10,Christopher Beem
2002,12,Christopher Beem
2003,10,Christopher Beem
2004,13,Christopher Beem
2005,16,Christopher Beem
2006,24,Christopher Beem
2007,36,Christopher Beem
2008,32,Christopher Beem
2009,28,Christopher Beem
2010,39,Christopher Beem
2011,27,Christopher Beem
2012,34,Christopher Beem
2013,32,Christopher Beem
2014,23,Christopher Beem
2015,19,Christopher Beem
2016,34,Christopher Beem
2017,21,Christopher Beem
2018,23,Christopher Beem
2019,15,Christopher Beem
2020,17,Christopher Beem
2021,19,Christopher Beem
2022,8,Christopher Beem
2023,8,Christopher Beem
2024,7,Christopher Beem
2025,8,Christopher Beem
1995,23,D. Scott Bennett
1996,22,D. Scott Bennett
1997,41,D. Scott Bennett
1998,66,D. Scott Bennett
1999,86,D. Scott Bennett
2000,119,D. Scott Bennett
2001,184,D. Scott Bennett
2002,190,D. Scott Bennett
2003,263,D. Scott Bennett
2004,231,D. Scott Bennett
2005,226,D. Scott Bennett
2006,247,D. Scott Bennett
2007,227,D. Scott Bennett
2008,285,D. Scott Bennett
2009,313,D. Scott Bennett
2010,350,D. Scott Bennett
2011,357,D. Scott Bennett
2012,344,D. Scott Bennett
2013,342,D. Scott Bennett
2014,290,D. Scott Bennett
2015,283,D. Scott Bennett
2016,260,D. Scott Bennett
2017,243,D. Scott Bennett
2018,212,D. Scott Bennett
2019,187,D. Scott Bennett
2020,132,D. Scott Bennett
2021,200,D. Scott Bennett
2022,145,D. Scott Bennett
2023,118,D. Scott Bennett
2024,116,D. Scott Bennett
2025,128,D. Scott Bennett
2026,11,D. Scott Bennett
1992,22,John Christman
1993,18,John Christman
1994,25,John Christman
1995,27,John Christman
1996,36,John Christman
1997,29,John Christman
1998,56,John Christman
1999,42,John Christman
2000,49,John Christman
2001,38,John Christman
2002,56,John Christman
2003,66,John Christman
2004,74,John Christman
2005,79,John Christman
2006,94,John Christman
2007,112,John Christman
2008,128,John Christman
2009,176,John Christman
2010,199,John Christman
2011,221,John Christman
2012,274,John Christman
2013,342,John Christman
2014,334,John Christman
2015,354,John Christman
2016,349,John Christman
2017,382,John Christman
2018,372,John Christman
2019,383,John Christman
2020,393,John Christman
2021,383,John Christman
2022,419,John Christman
2023,410,John Christman
2024,386,John Christman
2025,417,John Christman
2026,32,John Christman
2022,1,Justin Crofoot
2023,1,Justin Crofoot
2024,0,Justin Crofoot
2025,1,Justin Crofoot
1995,8,Lee Ann Banaszak
1996,10,Lee Ann Banaszak
1997,13,Lee Ann Banaszak
1998,19,Lee Ann Banaszak
1999,17,Lee Ann Banaszak
