,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09266016138441158,0.003391060990120094,27.324828911770776,2.1509201549243287e-164,0.08601380397439745,0.0993065187944257
C(block)[T.2],0.0028269516879526457,0.004390871918143956,0.6438246755208502,0.5196891308234624,-0.0057789991323378125,0.011432902508243104
C(block)[T.3],0.008299303370797846,0.004764035891446982,1.7420740649116093,0.08149548508615048,-0.0010380353974944086,0.0176366421390901
C(block)[T.4],0.0032990961196648315,0.005095357696319101,0.6474709561701834,0.517327185849481,-0.006687621453469584,0.013285813692799247
C(block)[T.5],0.004222104859048805,0.005450242247065291,0.7746637062457578,0.438538402379857,-0.006460173652217821,0.014904383370315431
C(block)[T.6],0.008147355797076214,0.006099168322566633,1.3358142235444437,0.18161000275987393,-0.0038067944508019622,0.020101506044954393
C(block)[T.7],0.003014642251920741,0.007036898257427698,0.4284049792447515,0.6683563001606455,-0.010777424895510214,0.016806709399351694
C(block)[T.8],0.008246955679419226,0.00795406720074072,1.0368224797813164,0.29981859695408564,-0.007342729564643909,0.02383664092348236
C(block)[T.9],0.008130789263247845,0.009790181789266997,0.8305044214972239,0.4062536490132429,-0.011057614445815376,0.027319192972311064
C(block)[T.10],0.002087286460790888,0.014006374039387669,0.14902404112021986,0.881534662712777,-0.025364702210405737,0.029539275131987515
treat,0.018385934759157133,0.0018984759372125948,9.684576137505314,3.506600205212284e-22,0.014664990296704521,0.022106879221609744
baseline_activity,0.0009584799480062736,0.0023538333904378796,0.4071995715159641,0.6838614162823994,-0.0036549487228597776,0.0055719086188723245
pre_metric,0.0010312468698305075,0.001970780232009329,0.5232683244336632,0.6007875405997556,-0.002831411406351269,0.004893905146012284
