,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9945998683816505,0.0007598595953860411,1308.9258521192344,0.0,0.9931105709413867,0.9960891658219143
C(block)[T.2],0.0006583027622506089,0.0009793651051232194,0.6721729810536635,0.5014735796330559,-0.001261217571506185,0.002577823096007403
C(block)[T.3],0.0012429988632144538,0.0009788008467178162,1.2699200939420567,0.20411309474525674,-0.000675415544389776,0.0031614132708186835
C(block)[T.4],0.002610711152843035,0.0009622403843595064,2.7131589936134266,0.006664512187391419,0.0007247546550284238,0.004496667650657646
C(block)[T.5],0.002082447962225031,0.001024628179497545,2.032393802839014,0.04211380496970336,7.421363286500091e-05,0.004090682291585061
C(block)[T.6],0.002252001093192238,0.0010037633559553637,2.2435577866347036,0.024860867882219265,0.00028466106651866673,0.004219341119865809
C(block)[T.7],0.003721002325612198,0.0009784658322191581,3.8028944936922056,0.00014301527377956822,0.0018032445343596367,0.005638760116864759
C(block)[T.8],0.003070533017878828,0.0010816600550274205,2.8387227610073746,0.004529449160027489,0.0009505182665094708,0.005190547769248185
C(block)[T.9],0.003805661752147472,0.001160459423421896,3.2794440506377684,0.0010401183217166015,0.001531203076720439,0.006080120427574505
C(block)[T.10],0.0036468696019557613,0.0015122278653347792,2.4115873576687545,0.015883246349290787,0.0006829574494817072,0.006610781754429815
treat,0.000541651407028945,0.000302529946577838,1.7904059190040662,0.07338867947308014,-5.129639250844398e-05,0.001134599206566334
baseline_activity,1.5322414310899295e-05,0.00033609577102481606,0.04558942906118252,0.9636374948001651,-0.0006434131922539608,0.0006740580208757594
pre_metric,3.230192316379225e-05,0.0003153244494663494,0.102440274512362,0.918407217363556,-0.0005857226412351728,0.0006503264875627573
