,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090316713,0.009590051532740571,69.80616389246478,0.0,0.6506483258878478,0.6882410921754948
C(block)[T.2],0.6948271721496236,0.012942496021389355,53.685716495591016,0.0,0.669460039009107,0.7201943052901403
C(block)[T.3],1.2557569295347857,0.012942197025076199,97.02811100014081,0.0,1.2303903824233682,1.2811234766462032
C(block)[T.4],1.8139170124425452,0.012942208208442902,140.15514070150942,0.0,1.7885504434118664,1.839283581473224
C(block)[T.5],2.3768088857414758,0.012942247505461801,183.64730582832934,0.0,2.351442239689123,2.4021755317938287
C(block)[T.6],3.03219076924688,0.01294222451749271,234.286676540696,0.0,3.006824168250664,3.057557370243096
C(block)[T.7],3.775041833943166,0.01294216757809925,291.6854391787737,0.0,3.7496753445474615,3.8004083233388704
C(block)[T.8],4.7477367657246035,0.012942222770097574,366.8409090202061,0.0,4.722370168153261,4.773103363295946
C(block)[T.9],6.116474810894275,0.012942209722852436,472.5989565826798,0.0,6.091108238895372,6.141841382893177
C(block)[T.10],9.475858211401462,0.012942182385728451,732.1684959292986,0.0,9.450491692982986,9.501224729819938
treat,-0.006450941635259871,0.005788265389690962,-1.114486154478879,0.2650733597639501,-0.017795870662108672,0.00489398739158893
