,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,4.203994453431167,0.018326530035873315,229.39391391616672,0.0,4.168075114599263,4.239913792263071
C(block)[T.2],0.14248849999387977,0.024049888492050753,5.9247052243496565,3.128580781186372e-09,0.095351584717256,0.18962541527050356
C(block)[T.3],0.20774496960723093,0.02727495322903417,7.616693889912396,2.6025554123844592e-14,0.1542870435983095,0.26120289561615234
C(block)[T.4],0.2667672904516737,0.028422494223652235,9.385780443916108,6.245219470865213e-21,0.21106022542251757,0.3224743554808298
C(block)[T.5],0.3434648855962069,0.030926979976556822,11.10567167749839,1.177288365527435e-28,0.28284911869156415,0.4040806525008497
C(block)[T.6],0.3639254587004259,0.03388892145388816,10.738773707968562,6.692743347455252e-27,0.2975043931758984,0.43034652422495345
C(block)[T.7],0.45387743681483833,0.03770770860244406,12.036728128991106,2.2781304756506068e-33,0.3799716860145168,0.5277831876151599
C(block)[T.8],0.4960140058914022,0.04362984554551188,11.368685808754284,5.9882387029100466e-30,0.4105010799711536,0.5815269318116508
C(block)[T.9],0.5083808742573723,0.05192780690502287,9.790147217024058,1.2411504349151392e-22,0.4066042429273772,0.6101575055873675
C(block)[T.10],0.5646816118127964,0.07592327238719698,7.437529943822854,1.025853352384063e-13,0.41587473234546596,0.7134884912801269
treat,0.21266878570977382,0.011513780461046813,18.470804305264505,3.5475904355093784e-76,0.19010219068022108,0.23523538073932657
baseline_activity,0.05615924224678668,0.013529483637111456,4.150878463147073,3.312016137448402e-05,0.029641941588624248,0.08267654290494911
pre_metric,-0.00043896530641467525,0.011245478482541857,-0.03903482693921391,0.9688626218814228,-0.022479698121116852,0.021601767508287503
