,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09797027279473938,0.0036986284824778743,26.488270789799568,1.3230583858972685e-154,0.09072109417688871,0.10521945141259005
C(block)[T.2],0.003747979551381194,0.004785598862474353,0.783178795191232,0.4335221251967477,-0.005631621863524387,0.013127580966286776
C(block)[T.3],0.010537497672996715,0.005206123451050417,2.0240583559098297,0.04296414776895699,0.00033368320986852315,0.020741312136124908
C(block)[T.4],0.004588848132843971,0.005464379767559671,0.8397747462734086,0.40103469544534476,-0.006121139409422337,0.015298835675110277
C(block)[T.5],0.005721683562832931,0.005817696497111445,0.9834964002803884,0.32536318610078985,-0.00568079204449033,0.017124159170156195
C(block)[T.6],0.01197098941626645,0.006527308334873125,1.8339855882568994,0.06665613346903845,-0.0008222998360729854,0.024764278668605887
C(block)[T.7],0.006342308546190277,0.007497614679056625,0.845910175126296,0.3976028557740585,-0.008352746194719544,0.021037363287100097
C(block)[T.8],0.012026183020971491,0.008385858138158932,1.4341028458670984,0.151542915908584,-0.004409796909282129,0.028462162951225112
C(block)[T.9],0.012220526564487622,0.010194266019771421,1.1987647311524283,0.23061944003340362,-0.007759867683084849,0.032200920812060094
C(block)[T.10],0.008391039917026128,0.014695889280042847,0.5709787109257306,0.568014073981199,-0.020412373792646116,0.037194453626698376
treat,0.02008506316448038,0.00204575568019181,9.817918805728164,9.426959898805077e-23,0.016075455710136192,0.02409467061882457
baseline_activity,-0.0005982850609419426,0.0025313672454966157,-0.23634858276937537,0.8131621909751529,-0.0055596736937596715,0.0043631035718757856
pre_metric,0.0020787489386933557,0.002144001292551688,0.969565151809833,0.33226329022727363,-0.0021234163775152772,0.006280914254901989
