Rank,Degree_node,Degree_val,Betw_node,Betw_val,Eig_node,Eig_val
1,394,46,530,0.005610088997141248,394,0.07373634147903953
2,352,44,352,0.005421184059948497,352,0.06756680741018775
3,129,44,570,0.0052710700766739685,5,0.06496725295661628
4,5,42,252,0.005148088514661503,285,0.06455829797667846
5,390,42,129,0.00511736069431368,146,0.06413957438488918
6,197,42,394,0.005051362624028745,323,0.06329197608600175
7,291,41,280,0.00490613147271233,129,0.06319224661910525
8,236,41,390,0.004759279955994493,291,0.06275947735948606
9,530,41,291,0.004664753727506496,197,0.06267568735877985
10,285,41,179,0.004389393969650452,390,0.0621222300676491
