threshold,matches
0.0,19952
0.01,11644
0.02,11644
0.03,11644
0.04,11644
0.05,11644
0.06,11597
0.07,11597
0.08,11597
0.09,11597
0.1,11597
0.11,11597
0.12,11597
0.13,11597
0.14,11597
0.15,11597
0.16,11597
0.17,11597
0.18,11597
0.19,11597
0.2,11597
0.21,11597
0.22,11597
0.23,11597
0.24,9913
0.25,9913
0.26,9913
0.27,9913
0.28,9913
0.29,9913
0.3,9913
0.31,9913
0.32,9913
0.33,9913
0.34,9913
0.35000000000000003,9913
0.36,9913
0.37,9913
0.38,9913
0.39,9913
0.4,9913
0.41000000000000003,9913
0.42,9913
0.43,9913
0.44,9913
0.45,9913
0.46,9913
0.47000000000000003,9913
0.48,9913
0.49,9913
0.5,9913
0.51,9913
0.52,9913
0.53,9913
0.54,9913
0.55,9913
0.56,9913
0.5700000000000001,9913
0.58,9913
0.59,9913
0.6,9913
0.61,9913
0.62,9913
0.63,9913
0.64,9913
0.65,9913
0.66,9913
0.67,9913
0.68,9913
0.6900000000000001,9913
0.7000000000000001,9913
0.71,9913
0.72,9913
0.73,9913
0.74,9913
0.75,9913
0.76,9913
0.77,9913
0.78,9913
0.79,9913
0.8,9913
0.81,9913
0.8200000000000001,9913
0.8300000000000001,9913
0.84,9913
0.85,9913
0.86,9913
0.87,9913
0.88,9913
0.89,9913
0.9,9913
0.91,9913
0.92,9913
0.93,9913
0.9400000000000001,6506
0.9500000000000001,6506
0.96,6506
0.97,6506
0.98,6506
0.99,6506
1.0,0
