review_text,rating,helpful,funny,playtime_forever,playtime_at_review,playtime_last_two_weeks,timestamp,datetime,playtime_forever_hours,playtime_at_review_hours
"Many people write about bugs, I don’t know, maybe I was just lucky, but I only caught a couple of them in the entire game, which were cured by loading a quick save. Otherwise, the game is not bad, and it was quite entertaining to play through using mostly just a knife and mines, with minimal shooting only in missions where it was necessary.

",True,3,0,2235,2235,1674,1777036351,2026-04-24 13:12:31,37.25,37.25
for me this is hard I never play stealth games but it is fun. again I am not used to these games and I am always messing up but I am learning so yeah its a cool game..,True,0,0,250,221,193,1776887327,2026-04-22 19:48:47,4.166666666666667,3.683333333333333
"Gameplay is good, but not exceptional compared to other games in the genre.
The base mechanic is fun though.
Why do I not recommend it? I didn't manage to get more than a few hours on this game, as that is as much of the story and dialogue I could take: ""Germans evil. All Germans die. We can torture, poison mutilate them, because they are Germans. We are the great freedom.""",False,1,3,304,304,0,1775767497,2026-04-09 20:44:57,5.066666666666666,5.066666666666666
"It's really really buggy. If you can put up with it, it's a little better than okay. The basecamp phase is a bit uninteresting and it feels like they might have cut some things out from it or it's a little bit underbaked.
Not worth full price.",True,0,0,1405,1405,0,1775446422,2026-04-06 03:33:42,23.416666666666668,23.416666666666668
"Even on sale, what a complete waste of money. Yeah games are buggy this one is super buggy I can't think of a game that was as annoying bug wise as this one. Really dumb dialog, kids playing army scenarios just all around a waste of money...thought it would be at least a change and fun but I was wrong glad I didn't buy the dlc",False,3,2,5083,4315,0,1774727151,2026-03-28 19:45:51,84.71666666666667,71.91666666666667
"Quite good in most respects, very much like Commandos II but with more up to date graphics (even for an isometric game that's important). Mechanics are quite intuitive, moving the map with wasd+qe and the characters in point and click fashion. The characters are mostly well balanced, each with a rudimentary skilling chart which allows for you to set an emphasis on certain skills early on. Another fun thing is taking care of background tasks like foraging for food and other supplies in between missions which is something you don't find often in this kind of games but adds to the realism. To me the only sorely missing option is a non-kill one to dispose of enemies in a non-lethal way. But well, I guess WWII wasn't won on commisering the German combattants or so.",True,3,0,2916,1468,0,1773861624,2026-03-18 19:20:24,48.6,24.466666666666665
"The gameplay, the setting of the game and the characters are awesome. The game is, however, filled with a lot of bugs - to the point that it's practically impossible to play on the ""Hard"" setting (without saving, etc).

I had a lot of fun and got my <2 EUR worth out of it, so I am still recommending it if you like this type of games.",True,3,1,1440,1383,0,1773586119,2026-03-15 14:48:39,24.0,23.05
"Partisans 1941 is basically Commandos with Soviet guerrillas and a constant reminder that one bad click equals instant reload. Stealth and squad coordination feel great, the missions get genuinely challenging, and the tactical pause saves you from public embarrassment. Not revolutionary, but if you like real-time tactics and suffering strategically, it absolutely delivers.",True,0,0,1653,1653,0,1770908676,2026-02-12 15:04:36,27.55,27.55
"Suddenly, you realize that a single failure means the enemies know exactly where all your group is hiding that you had just been carefully navigating them to, and you realize it is then literally and absolutely impossible for you again to enjoy the feeling of sneaking around meaning anygthing at all. And the game becaomes absolutely useless.
I cannot get a refund. Please don't pay more than two dollars for this game. It will suddenly go from seeming like you have some already sketchy but fun stealth micro-movement control to instantly you realizing the very limited scope of just click a guy around and do the exact same thing once another guard walks by. It's tedious, has no different feel between any options you might try, and the has this implied idea that you have any reason to think about resources or skill trees but they literally don't do a single thnng you can detect as useful progression.
You will, without a single doubt, suddenly realize the game will never have any of your imagined different ways to do things, and it will be ruined. You will have no interest in just clicking the guys around in teh axact same manner again but just avoiding the new timing of guards walking around like its an arcade game from the 90s. this guy walk left and right, this guy walks up and down, time it just right or suddenly your guys you snuck into the bushes far away  and out of sight will die intantly when the other guard sees your other guy and the entire base, always, all at once jiust kills whatever is near them, regardless of what you thought it menat to be hidden. One guy gets spotted,and it suddenly feels like Pac-Man when they turn blue, ALL the guards accross the map turn red at once and start running right at your hidden guys. It's truly just horribly stupid when you suddenly realize that your previous three misisions were a complete waste of time assuming you were actually being stealthy.

It's a shame, I really wanted to like this game for what it pretends to be, then the ontrols were already sketchy, but I went with it more just because I REALLY did want it to be fun trying different tactics and exploring builds, load out, loot etc ... but like  a ton of bricks, in one instant, I realized there is zero nuance or control of you options beyond, click the guy here then there and when the gaurd passes click him over there. Literally. LITERALLY.
$30??? this game is a beta that no one added anything fun to after they got clicking the guys around done.. Such a shame.",False,0,0,706,706,0,1770631778,2026-02-09 10:09:38,11.766666666666667,11.766666666666667
"Underwhelming. The first few levels set up a game that never ends up coming together. 

The campaign has a decent beginning but they give up any semblance of an actual plot after the halfway point. All the characters are one note and get zero development throughout the game. 

The campaign itself is also longer than the core gameplay can really support. After the first 2-3 missions you'll see pretty much all the depth there is in the game, and you can really tell that they were running out of ideas in some of the later missions. The characters you unlock really only have 1 or 2 meaningful abilities that separates them from the rest and for many of them it's actually just a worst version of what another character has. This really hurts the game when the only real meaningful change to your gameplay comes from unlocking new characters through the campaign.

The game also has quality control issues. I never had a bug that hard killed my campaign, but I had a lot of minor graphic, pathing and UI glitches that forced a reload.

Ultimately I think this is a pretty subpar tactics game. The setting is the only thing that really sets it apart, but they don't really do anything with the story to make good use of that setting so I can't really even really recommend it to fans of WW2 games.",False,0,0,1022,1022,0,1770231065,2026-02-04 18:51:05,17.033333333333335,17.033333333333335
