,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090316724,0.00959005153274057,69.80616389246491,0.0,0.6506483258878489,0.6882410921754959
C(block)[T.2],0.6948271721496437,0.012942496021389378,53.68571649559248,0.0,0.669460039009127,0.7201943052901605
C(block)[T.3],1.255756929534789,0.012942197025076187,97.02811100014117,0.0,1.2303903824233715,1.2811234766462065
C(block)[T.4],1.81391701244255,0.01294220820844291,140.1551407015097,0.0,1.7885504434118713,1.839283581473229
C(block)[T.5],2.376808885741478,0.012942247505461814,183.64730582832934,0.0,2.351442239689125,2.402175531793831
C(block)[T.6],3.032190769246879,0.012942224517492709,234.28667654069596,0.0,3.006824168250663,3.057557370243095
C(block)[T.7],3.7750418339431566,0.012942167578099253,291.6854391787729,0.0,3.749675344547452,3.800408323338861
C(block)[T.8],4.747736765724606,0.012942222770097588,366.84090902020586,0.0,4.7223701681532635,4.773103363295949
C(block)[T.9],6.1164748108942675,0.012942209722852446,472.59895658267885,0.0,6.091108238895365,6.14184138289317
C(block)[T.10],9.475858211401444,0.012942182385728446,732.1684959292976,0.0,9.450491692982968,9.50122472981992
treat,-0.006450941635260321,0.005788265389690975,-1.1144861544789544,0.2650733597639179,-0.017795870662109147,0.0048939873915885045
