,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09266016138441158,0.003391060990120109,27.324828911770652,2.1509201549317967e-164,0.08601380397439742,0.09930651879442573
C(block)[T.2],0.0028269516879526287,0.004390871918143968,0.6438246755208445,0.5196891308234659,-0.005778999132337854,0.01143290250824311
C(block)[T.3],0.008299303370797815,0.004764035891446992,1.742074064911599,0.08149548508615229,-0.0010380353974944606,0.01763664213909009
C(block)[T.4],0.0032990961196648354,0.0050953576963191196,0.6474709561701818,0.517327185849482,-0.006687621453469617,0.013285813692799287
C(block)[T.5],0.0042221048590488095,0.005450242247065324,0.7746637062457539,0.4385384023798593,-0.006460173652217881,0.0149043833703155
C(block)[T.6],0.008147355797076216,0.00609916832256665,1.3358142235444403,0.18161000275987493,-0.0038067944508019935,0.020101506044954427
C(block)[T.7],0.003014642251920767,0.007036898257427734,0.42840497924475296,0.6683563001606445,-0.010777424895510259,0.01680670939935179
C(block)[T.8],0.008246955679419254,0.007954067200740756,1.036822479781315,0.2998185969540863,-0.007342729564643952,0.02383664092348246
C(block)[T.9],0.008130789263247904,0.009790181789267034,0.8305044214972269,0.4062536490132411,-0.011057614445815387,0.027319192972311196
C(block)[T.10],0.0020872864607909543,0.014006374039387738,0.14902404112022385,0.8815346627127738,-0.025364702210405807,0.029539275131987716
treat,0.018385934759157087,0.0018984759372126002,9.684576137505262,3.5066002052140715e-22,0.014664990296704466,0.02210687922160971
baseline_activity,0.0009584799480062622,0.0023538333904379277,0.40719957151595093,0.683861416282409,-0.003654948722859884,0.005571908618872408
pre_metric,0.0010312468698305108,0.001970780232009365,0.5232683244336552,0.6007875405997611,-0.002831411406351336,0.004893905146012358
