,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.0979702727947394,0.0036986284824778812,26.48827078979952,1.3230583858988507e-154,0.09072109417688871,0.10521945141259008
C(block)[T.2],0.003747979551381177,0.004785598862474366,0.7831787951912264,0.43352212519675104,-0.005631621863524431,0.013127580966286785
C(block)[T.3],0.010537497672996686,0.005206123451050423,2.0240583559098217,0.04296414776895782,0.00033368320986848325,0.020741312136124887
C(block)[T.4],0.004588848132843975,0.0054643797675596965,0.8397747462734055,0.40103469544534665,-0.0061211394094223825,0.015298835675110332
C(block)[T.5],0.00572168356283294,0.005817696497111476,0.9834964002803847,0.3253631861007916,-0.005680792044490384,0.017124159170156264
C(block)[T.6],0.011970989416266457,0.006527308334873159,1.833985588256891,0.06665613346903969,-0.0008222998360730444,0.024764278668605956
C(block)[T.7],0.006342308546190304,0.007497614679056665,0.8459101751262952,0.39760285577405896,-0.008352746194719594,0.0210373632871002
C(block)[T.8],0.012026183020971524,0.008385858138158966,1.4341028458670964,0.1515429159085846,-0.004409796909282162,0.02846216295122521
C(block)[T.9],0.012220526564487692,0.010194266019771527,1.1987647311524225,0.23061944003340573,-0.007759867683084988,0.03220092081206037
C(block)[T.10],0.008391039917026211,0.014695889280042956,0.570978710925732,0.5680140739811981,-0.02041237379264625,0.03719445362669867
treat,0.020085063164480336,0.002045755680191816,9.817918805728112,9.42695989880988e-23,0.016075455710136136,0.024094670618824535
baseline_activity,-0.0005982850609419545,0.002531367245496721,-0.23634858276937024,0.8131621909751569,-0.005559673693759889,0.004363103571875981
pre_metric,0.002078748938693358,0.0021440012925518343,0.969565151809768,0.33226329022730594,-0.0021234163775155613,0.006280914254902277
